"id","opponent","date"
"1","Astana","2024-08-22 17:00:00+00"
"2","Fredrikstad","2024-08-18 14:30:00+00"
"3","St. Mirren","2024-08-15 19:00:00+00"
"4","St. Mirren","2024-08-08 19:00:00+00"
"5","Strømsgodset","2024-08-04 17:00:00+00"
"6","Astana","2024-08-29 14:00:00+00"
"7","Sarpsborg 08","2024-09-01 17:15:00+00"
"8","Sandefjord","2024-09-15 15:00:00+00"
"9","KFUM","2024-09-18 17:00:00+00"
"10","Bodø/Glimt","2024-09-22 12:30:00+00"
"11","FK Haugesund","2024-09-28 16:00:00+00"
"12","Rosenborg","2024-10-20 12:30:00+00"
"13","Tromsø","2024-10-27 18:15:00+00"
"14","Odd","2024-11-03 16:00:00+00"
"15","Lillestrøm","2024-11-09 17:00:00+00"
"16","Molde","2024-11-23 16:00:00+00"
"17","Viking","2024-12-01 16:00:00+00"
