"id","name","shirt_no"
"1","Mathias Dyngeland","1"
"2","Martin Børsheim","12"
"3","Mathias Klausen","24"
"4","Eirik Holmen Johansen","36"
"5","Martin Hellan","2"
"6","Fredrik Pallesen Knudsen","3"
"7","Joachim Soltvedt","17"
"8","Rasmus Holten","43"
"9","Japhet Sery Larsen","6"
"10","Svenn Crone","13"
"11","Jonas Torsvik","15"
"12","Ruben Kristiansen","21"
"13","Thore Pedersen","23"
"14","Eivind Helland","26"
"15","Sakarias Opsahl","5"
"16","Felix Horn Myhre","8"
"17","Emil Kornvig","10"
"18","Ulrik Mathisen","14"
"19","Ole Didrik Blomberg","16"
"20","Sander Kartum","18"
"21","Niklas Wassberg","25"
"22","Mads Sande","27"
"23","Niklas Castro","9"
"24","Bård Finne","11"
"25","Aune Heggebø","20"
"26","Moonga Simba","22"
"27","Magnus Warming","7"
"28","Markus Haaland","32"
